s_time,label,fname
183525,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
189524,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
195523,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
201524,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
207521,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
213519,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
219519,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
225518,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
231518,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
237517,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
243516,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
249515,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
255514,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
261513,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
267512,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
273511,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
279510,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
285508,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
291508,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
297507,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
303506,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
322954,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
328953,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
334952,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
340950,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
346950,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
352949,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
358948,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
364948,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
370946,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
376945,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
382944,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
388944,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
394943,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
400941,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
406941,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
412939,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
418938,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
424937,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
430937,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
436936,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
442935,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
448934,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
454933,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
460932,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
466932,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
472931,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
478930,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
484929,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
490929,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
496927,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
502926,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
508925,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
514924,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
520924,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
526922,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
532922,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
538921,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
544919,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
550918,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
556917,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
562917,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
568916,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
574915,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
580914,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
586913,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
592912,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
598911,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
604910,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
610909,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
616909,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
639223,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
645221,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
651221,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
657219,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
663218,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
669218,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
675216,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
681216,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
687214,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
693214,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
699213,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
705212,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
711211,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
717210,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
723209,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
729208,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
735208,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
741206,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
747206,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
753204,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
759203,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
765203,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
771201,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
777201,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
783200,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
789199,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
795199,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
801196,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
807196,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
813194,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
819194,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
825194,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
831193,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
837192,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
843191,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
849190,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
855190,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
861188,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
867188,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
873187,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
879185,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
885185,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
891183,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
897183,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
903183,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
909182,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
915181,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
921180,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
927178,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
933178,4,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
956875,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
962872,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
968872,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
974871,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
980870,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
986869,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
992868,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
998868,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
1004866,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
115221,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
121219,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
127218,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
133217,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
139216,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
145215,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
151214,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
157214,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
163212,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
169211,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
175210,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
181210,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
187209,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
193208,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
199207,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
205206,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
211207,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
217206,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
223205,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
229204,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
235204,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
241202,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
247202,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
253201,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
259200,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
265198,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
271198,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
277197,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
283197,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
289195,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
295195,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
301193,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
307191,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
313190,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
319190,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
325190,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
331189,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
337188,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
343187,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
349186,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
355185,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
361185,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
367184,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
373183,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
379181,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
385180,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
391180,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
397178,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
403178,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
409176,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
553356,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
559355,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
565353,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
571352,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
577352,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
583350,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
589351,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
595349,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
601348,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
607348,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
613346,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
619344,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
625344,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
631343,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
637343,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
643342,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
649341,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
655340,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
661340,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
667337,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
673337,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
679337,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
685335,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
691335,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
697333,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
703332,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
709332,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
715331,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
721331,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
727329,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
733328,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
739328,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
745326,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
751325,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
757324,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
763323,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
769322,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
775322,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
781320,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
787320,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
793319,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
799318,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
805317,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
811317,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
817315,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
823314,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
829313,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
835312,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
841312,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
847311,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
985922,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
991921,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
997920,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1003919,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
1009918,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
1015917,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
1021916,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
1027915,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1033914,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
1039913,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1045912,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
1051912,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
1057911,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
1063909,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1069908,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1075907,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1081907,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1087908,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1093907,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1099906,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
1105905,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
1111904,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
1117904,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1123902,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1129901,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1135901,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
1141900,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
1147899,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1153897,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
1159897,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1165896,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1171894,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1177894,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
1183893,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
1189892,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1195891,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
1201890,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1207889,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1213888,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1219888,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
1225887,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1231886,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1237886,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
1243884,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1249884,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1255882,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1261881,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
1267880,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1273880,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1279878,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
1461669,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
1467667,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
1473666,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1479664,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1485664,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1491664,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1497663,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1503662,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
1509661,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
1515659,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1521659,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1527658,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
1533657,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1539656,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1545655,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1551654,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
1557653,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1563652,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1569652,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1575651,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
1581650,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1587649,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
1593649,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
1599648,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1605647,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1611645,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
1617644,5,ABI-Kartikeya-22-10-19_20191022_033359.mff
1623643,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
1629642,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1635642,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1641640,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
1647640,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1653640,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1659638,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
1665638,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
1671636,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1677636,7,ABI-Kartikeya-22-10-19_20191022_033359.mff
1683634,3,ABI-Kartikeya-22-10-19_20191022_033359.mff
1689634,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1695633,4,ABI-Kartikeya-22-10-19_20191022_033359.mff
1701632,2,ABI-Kartikeya-22-10-19_20191022_033359.mff
1707630,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
1713631,1,ABI-Kartikeya-22-10-19_20191022_033359.mff
1719629,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1725628,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
1731627,9,ABI-Kartikeya-22-10-19_20191022_033359.mff
1737626,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1743626,8,ABI-Kartikeya-22-10-19_20191022_033359.mff
1749624,6,ABI-Kartikeya-22-10-19_20191022_033359.mff
1755624,0,ABI-Kartikeya-22-10-19_20191022_033359.mff
121372,4,ABI-Kartikeya-22-10-19_20191022_040406.mff
127370,5,ABI-Kartikeya-22-10-19_20191022_040406.mff
133369,1,ABI-Kartikeya-22-10-19_20191022_040406.mff
139368,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
145368,5,ABI-Kartikeya-22-10-19_20191022_040406.mff
151367,8,ABI-Kartikeya-22-10-19_20191022_040406.mff
157365,8,ABI-Kartikeya-22-10-19_20191022_040406.mff
163364,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
169364,6,ABI-Kartikeya-22-10-19_20191022_040406.mff
175363,5,ABI-Kartikeya-22-10-19_20191022_040406.mff
181362,4,ABI-Kartikeya-22-10-19_20191022_040406.mff
187361,7,ABI-Kartikeya-22-10-19_20191022_040406.mff
193360,9,ABI-Kartikeya-22-10-19_20191022_040406.mff
199359,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
205358,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
211358,1,ABI-Kartikeya-22-10-19_20191022_040406.mff
217358,7,ABI-Kartikeya-22-10-19_20191022_040406.mff
223358,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
229356,2,ABI-Kartikeya-22-10-19_20191022_040406.mff
235356,4,ABI-Kartikeya-22-10-19_20191022_040406.mff
241354,6,ABI-Kartikeya-22-10-19_20191022_040406.mff
247354,2,ABI-Kartikeya-22-10-19_20191022_040406.mff
253353,8,ABI-Kartikeya-22-10-19_20191022_040406.mff
259350,4,ABI-Kartikeya-22-10-19_20191022_040406.mff
265352,2,ABI-Kartikeya-22-10-19_20191022_040406.mff
271350,6,ABI-Kartikeya-22-10-19_20191022_040406.mff
277349,5,ABI-Kartikeya-22-10-19_20191022_040406.mff
283348,1,ABI-Kartikeya-22-10-19_20191022_040406.mff
289347,9,ABI-Kartikeya-22-10-19_20191022_040406.mff
295346,2,ABI-Kartikeya-22-10-19_20191022_040406.mff
301346,6,ABI-Kartikeya-22-10-19_20191022_040406.mff
307345,0,ABI-Kartikeya-22-10-19_20191022_040406.mff
313342,2,ABI-Kartikeya-22-10-19_20191022_040406.mff
319342,7,ABI-Kartikeya-22-10-19_20191022_040406.mff
325342,6,ABI-Kartikeya-22-10-19_20191022_040406.mff
331341,1,ABI-Kartikeya-22-10-19_20191022_040406.mff
337340,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
343338,7,ABI-Kartikeya-22-10-19_20191022_040406.mff
349338,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
355338,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
361337,7,ABI-Kartikeya-22-10-19_20191022_040406.mff
367335,4,ABI-Kartikeya-22-10-19_20191022_040406.mff
373335,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
379334,5,ABI-Kartikeya-22-10-19_20191022_040406.mff
385333,0,ABI-Kartikeya-22-10-19_20191022_040406.mff
391333,2,ABI-Kartikeya-22-10-19_20191022_040406.mff
397331,1,ABI-Kartikeya-22-10-19_20191022_040406.mff
403330,9,ABI-Kartikeya-22-10-19_20191022_040406.mff
409329,8,ABI-Kartikeya-22-10-19_20191022_040406.mff
415328,9,ABI-Kartikeya-22-10-19_20191022_040406.mff
540674,7,ABI-Kartikeya-22-10-19_20191022_040406.mff
546673,3,ABI-Kartikeya-22-10-19_20191022_040406.mff
552672,8,ABI-Kartikeya-22-10-19_20191022_040406.mff
558672,1,ABI-Kartikeya-22-10-19_20191022_040406.mff
564671,7,ABI-Kartikeya-22-10-19_20191022_040406.mff
570669,8,ABI-Kartikeya-22-10-19_20191022_040406.mff
576668,4,ABI-Kartikeya-22-10-19_20191022_040406.mff
582668,1,ABI-Kartikeya-22-10-19_20191022_040406.mff
588668,6,ABI-Kartikeya-22-10-19_20191022_040406.mff
